Date,MMM,AOS,ABT,ABBV,ACN,ADBE,AMD,AES,AFL,A,APD,ABNB,AKAM,ALB,ARE
2024-12-18,124.30502319335938,67.88665771484375,110.33702087402344,168.37982177734375,342.7169494628906,441.30999755859375,121.41000366210938,11.926437377929688,99.26354217529297,132.20472717285156,289.87506103515625,127.54000091552734,94.12000274658203,89.4499282836914,93.56024932861328
2024-12-19,125.889404296875,67.42362976074219,110.8200454711914,166.92002868652344,366.92138671875,437.3900146484375,118.87999725341797,11.86919116973877,100.13383483886719,132.38363647460938,287.77447509765625,129.35000610351562,94.58000183105469,87.84942626953125,92.94880676269531
2024-12-20,128.01841735839844,67.69947052001953,112.60429382324219,170.87115478515625,361.2129211425781,447.1700134277344,119.20999908447266,12.403495788574219,101.5579605102539,133.69564819335938,289.56097412109375,134.2100067138672,95.88999938964844,87.58267974853516,94.74491882324219
2024-12-23,127.72135162353516,67.5418472290039,112.68315124511719,173.6057891845703,353.7198791503906,446.739990234375,124.5999984741211,12.460742950439453,101.60740661621094,133.78509521484375,288.1474609375,134.52000427246094,96.5999984741211,88.12605285644531,94.49652099609375
2024-12-24,129.087890625,67.866943359375,113.12675476074219,175.17262268066406,356.5396423339844,447.94000244140625,126.29000091552734,12.422577857971191,102.10189819335938,135.27603149414062,290.5719909667969,134.99000549316406,96.91000366210938,88.90654754638672,95.00286865234375
2024-12-26,129.89987182617188,67.866943359375,113.62948608398438,174.39407348632812,355.3565368652344,450.1600036621094,125.05999755859375,12.250837326049805,102.51727294921875,135.00765991210938,289.6492919921875,135.32000732421875,97.95999908447266,88.07666778564453,95.19393920898438
2024-12-27,128.90963745117188,67.41378021240234,113.35347747802734,173.2359619140625,351.16632080078125,446.4800109863281,125.19000244140625,12.164966583251953,102.2403564453125,134.71939086914062,287.4211120605469,133.38499450683594,96.97000122070312,87.22701263427734,93.96149444580078
2024-12-30,127.86988830566406,67.00987243652344,111.19464874267578,171.47451782226562,347.5282897949219,445.79998779296875,122.44000244140625,12.069555282592773,101.83487701416016,133.60618591308594,283.37689208984375,131.80999755859375,95.55999755859375,85.10289764404297,93.43605041503906
2024-12-31,127.83026885986328,67.1970443725586,111.50022888183594,172.9342803955078,346.8381652832031,444.67999267578125,120.79000091552734,12.279460906982422,102.29969787597656,133.77346801757812,284.7020568847656,131.41000366210938,95.6500015258789,85.04362487792969,94.4722900390625
2025-01-02,128.434326171875,66.33011627197266,111.82553100585938,174.62762451171875,343.90997314453125,441.0,120.62999725341797,12.451201438903809,101.23160552978516,132.8673095703125,279.78369140625,131.47999572753906,95.41999816894531,84.203857421875,94.42386627197266
2025-01-03,128.6026611328125,67.58125305175781,112.2099838256836,176.35989379882812,348.869140625,430.57000732421875,125.37000274658203,12.622941017150879,102.02278137207031,135.1177978515625,280.3960266113281,135.7100067138672,93.55999755859375,86.7330322265625,96.031494140625
